frame,t,view,shoulder,hip,knee,foot_pitch,ankle
1,0.03333434466019417,BACK,,,,,
2,0.06666868932038834,BACK,,,,,
3,0.10000303398058252,BACK,,,,,
4,0.1333373786407767,BACK,,,,,
5,0.16667172330097088,BACK,,,,,
6,0.20000606796116505,BACK,,,,,
7,0.2333404126213592,BACK,,,,,
8,0.2666747572815534,BACK,,,,,
9,0.30000910194174757,BACK,,,,,
10,0.33334344660194176,BACK,,,,,
11,0.3666777912621359,BACK,,,,,
12,0.4000121359223301,BACK,,,,,
13,0.4333464805825243,BACK,,,,,
14,0.4666808252427184,BACK,,,,,
15,0.5000151699029126,BACK,,,,,
16,0.5333495145631068,BACK,,,,,
17,0.566683859223301,BACK,,,,,
18,0.6000182038834951,BACK,,,,,
19,0.6333525485436893,BACK,,,,,
20,0.6666868932038835,BACK,,,,,
21,0.7000212378640777,BACK,,,,,
22,0.7333555825242718,BACK,,,,,
23,0.766689927184466,BACK,,,,,
24,0.8000242718446602,RIGHT,17.28583783251492,11.35201396331206,16.192790868270578,14.620874520841785,-3.564461950711177
25,0.8333586165048543,RIGHT,13.811555288313349,11.085244294403282,17.55654743505795,14.444035724492231,-3.002991855724602
26,0.8666929611650486,RIGHT,8.255397517332351,12.924855176713379,18.789450856608,14.981632572390918,-3.4064437549944984
27,0.9000273058252427,RIGHT,1.3599233772953283,16.381121456462836,21.147696278111766,14.400021306791055,-2.958977438023439
28,0.9333616504854368,RIGHT,2.873438397470599,18.596287481046545,22.85424853812458,12.680383941158523,-0.9910151820023145
29,0.9666959951456311,RIGHT,9.402625307254722,19.111695846410527,22.896979463163433,14.349332042947134,-3.652821307168807
30,1.0000303398058252,RIGHT,15.06568054558337,18.462210888838143,23.790229549314148,9.544525565558134,2.2891197406024304
31,1.0333646844660194,RIGHT,15.561029418752533,16.92374687357946,21.930681170953477,6.182930310578105,5.705727456757316
32,1.0666990291262135,RIGHT,22.82835987955487,10.080276740036169,15.48049669825997,6.940983428742579,3.1836882266550504
33,1.1000333737864079,RIGHT,28.817329600647383,4.147940308804181,13.446459998652472,7.740341158837922,4.069541798190073
34,1.133367718446602,RIGHT,30.664707306122118,1.8272449510927515,11.478036968234704,7.386043151267269,4.670719382565068
35,1.1667020631067961,RIGHT,32.17121712854999,3.9571178781027356,16.2527635599794,12.39540683375846,3.266699511567353
36,1.2000364077669903,RIGHT,31.66864521037177,0.46013627162844273,15.037479927743192,15.255118012214057,1.6500408436058365
37,1.2333707524271844,RIGHT,34.044634937330656,2.481113729376773,13.963462745180038,16.220194348315726,1.2755628310958684
38,1.2667050970873786,RIGHT,32.97498919470961,3.236154626654127,12.202222095910798,29.427456403189737,-12.677191898162008
39,1.300039441747573,RIGHT,33.80141946995267,5.326711859744535,9.575810804863153,67.16634532634153,-51.81620848005335
40,1.333373786407767,RIGHT,33.80141757632007,6.677401860622098,5.403791116031755,46.46880208955678,-58.99760921549171
41,1.3667081310679612,FRONT,,,,,
42,1.4000424757281553,FRONT,,,,,
43,1.4333768203883495,FRONT,,,,,
44,1.4667111650485436,FRONT,,,,,
45,1.500045509708738,FRONT,,,,,
46,1.533379854368932,FRONT,,,,,
47,1.5667141990291262,FRONT,,,,,
48,1.6000485436893204,FRONT,,,,,
49,1.6333828883495145,FRONT,,,,,
50,1.6667172330097086,FRONT,,,,,
51,1.700051577669903,FRONT,,,,,
52,1.7333859223300971,FRONT,,,,,
53,1.7667202669902913,FRONT,,,,,
54,1.8000546116504854,FRONT,,,,,
55,1.8333889563106796,FRONT,,,,,
56,1.8667233009708737,FRONT,,,,,
57,1.900057645631068,FRONT,,,,,
58,1.9333919902912622,FRONT,,,,,
59,1.9667263349514563,FRONT,,,,,
60,2.0000606796116505,FRONT,,,,,
61,2.0333950242718446,FRONT,,,,,
62,2.0667293689320387,FRONT,,,,,
63,2.100063713592233,FRONT,,,,,
64,2.133398058252427,FRONT,,,,,
65,2.166732402912621,FRONT,,,,,
66,2.2000667475728157,FRONT,,,,,
67,2.23340109223301,FRONT,,,,,
68,2.266735436893204,FRONT,,,,,
69,2.300069781553398,FRONT,,,,,
70,2.3334041262135923,FRONT,,,,,
71,2.3667384708737864,FRONT,,,,,
72,2.4000728155339806,FRONT,,,,,
73,2.4334071601941747,FRONT,,,,,
74,2.466741504854369,FRONT,,,,,
75,2.500075849514563,FRONT,,,,,
76,2.533410194174757,FRONT,,,,,
77,2.5667445388349512,FRONT,,,,,
78,2.600078883495146,FRONT,,,,,
79,2.63341322815534,FRONT,,,,,
80,2.666747572815534,FRONT,,,,,
81,2.7000819174757282,FRONT,,,,,
82,2.7334162621359224,FRONT,,,,,
83,2.7667506067961165,FRONT,,,,,
84,2.8000849514563106,FRONT,,,,,
85,2.833419296116505,FRONT,,,,,
86,2.866753640776699,FRONT,,,,,
87,2.900087985436893,FRONT,,,,,
88,2.933422330097087,FRONT,,,,,
89,2.9667566747572813,FRONT,,,,,
90,3.000091019417476,FRONT,,,,,
91,3.03342536407767,FRONT,,,,,
92,3.066759708737864,FRONT,,,,,
93,3.1000940533980583,FRONT,,,,,
94,3.1334283980582525,FRONT,,,,,
95,3.1667627427184466,FRONT,,,,,
96,3.2000970873786407,FRONT,,,,,
97,3.233431432038835,FRONT,,,,,
98,3.266765776699029,FRONT,,,,,
99,3.300100121359223,FRONT,,,,,
100,3.3334344660194173,FRONT,,,,,
101,3.3667688106796114,FRONT,,,,,
102,3.400103155339806,FRONT,,,,,
103,3.4334375,FRONT,,,,,
104,3.4667718446601943,FRONT,,,,,
105,3.5001061893203884,FRONT,,,,,
106,3.5334405339805826,FRONT,,,,,
107,3.5667748786407767,FRONT,,,,,
108,3.600109223300971,FRONT,,,,,
109,3.633443567961165,FRONT,,,,,
110,3.666777912621359,FRONT,,,,,
111,3.7001122572815532,FRONT,,,,,
112,3.7334466019417474,FRONT,,,,,
113,3.7667809466019415,FRONT,,,,,
114,3.800115291262136,FRONT,,,,,
115,3.8334496359223302,FRONT,,,,,
116,3.8667839805825244,FRONT,,,,,
117,3.9001183252427185,FRONT,,,,,
118,3.9334526699029126,FRONT,,,,,
119,3.966787014563107,FRONT,,,,,
120,4.000121359223301,FRONT,,,,,
121,4.0334557038834955,FRONT,,,,,
122,4.066790048543689,FRONT,,,,,
123,4.100124393203884,FRONT,,,,,
124,4.1334587378640775,FRONT,,,,,
125,4.166793082524272,FRONT,,,,,
126,4.200127427184466,FRONT,,,,,
127,4.23346177184466,FRONT,,,,,
128,4.266796116504854,FRONT,,,,,
129,4.300130461165049,FRONT,,,,,
130,4.333464805825242,FRONT,,,,,
131,4.366799150485437,FRONT,,,,,
